"文書ID","複合語","複合語種別"
"1","淡麗グリーンラベル","複合語-事物-一般"
"1","糖質","複合語-事物-一般"
"1","７０％カット","複合語-事物-一般"
"1","カロリー","複合語-事物-一般"
"1","ある","複合語-行為"
"1","発見してしまった","複合語-行為"
"1","なう","複合語-行為"
"2","淡麗グリーンラベル","複合語-事物-一般"
"2","グビ","複合語-事物-一般"
"3","グリーンラベル先輩","複合語-事物-一般"
"3","やられた","複合語-行為"
"3","寝る","複合語-行為"
"3","！","複合語-事物-一般"
"4","数日","複合語-事物-一般"
"4","前","複合語-事物-一般"
"4","冷蔵庫","複合語-事物-一般"
"4","消えた","複合語-行為"
"4","グリーンラベル","複合語-事物-一般"
"4","たす","複合語-行為"
"4","お中元","複合語-事物-一般"
"4","なる","複合語-行為"
"4","帰ってきた","複合語-行為"
"4","！最高","複合語-事物-一般"
"4","！グビグビ！","複合語-事物-一般"
"5","久々","複合語-事物-一般"
"5","グリーンラベル","複合語-事物-一般"
"5","ビール","複合語-事物-一般"
"5","うまい","複合語-評価"
"5","今日","複合語-事物-一般"
"5","夕飯","複合語-事物-一般"
"5","たらこパスタ","複合語-事物-一般"
"5","鮭","複合語-事物-一般"
"5","ムニエル","複合語-事物-一般"
"5","真鯛","複合語-事物-一般"
"5","カルパッチョ","複合語-事物-一般"
"5","スルメイカ","複合語-事物-一般"
"5","刺身","複合語-事物-一般"
"5","パトス","複合語-事物-一般"
"5","アルコール","複合語-事物-一般"
"5","飲みたかった","複合語-評価"
"5","走る","複合語-行為"
"5","我慢","複合語-事物-一般"
"5","明日","複合語-事物-一般"
"5","仕事","複合語-事物-一般"
"5","忙しい","複合語-評価"
"5","１日","複合語-事物-一般"
"5","走る","複合語-行為"
"6","グリーンラベル","複合語-事物-一般"
"6","淡麗","複合語-事物-一般"
"6","味","複合語-事物-一般"
"6","違う","複合語-行為"
"7","カップ焼きそば界","複合語-事物-一般"
"7","キング","複合語-事物-一般"
"7","塩","複合語-事物-一般"
"7","食らう","複合語-行為"
"7","グリーンラベル","複合語-事物-一般"
"7","・","複合語-事物-一般"
"7","ばば様どこ","複合語-事物-一般"
"7","買ってきた","複合語-行為"
"7","帰る","複合語-行為"
"7","買い占めたい","複合語-評価"
"8","＠Ｂ＿Ｂｅａｒ３３","複合語-事物-一般"
"8","おいちゃんグリーンラベル","複合語-事物-一般"
"8","飲んでます","複合語-行為"
"8","照笑","複合語-事物-一般"
"9","さげる","複合語-行為"
"9","グリーンラベルＣＭ","複合語-事物-一般"
"9","にる","複合語-行為"
"9","合流した","複合語-行為"
"9","泣ける","複合語-行為"
"9","寝た","複合語-行為"
"9","治る","複合語-行為"
"9","寝る","複合語-行為"
"10","グリーンラベル","複合語-事物-一般"
"10","なう","複合語-行為"
"11","あんま","複合語-事物-一般"
"11","飲んだ","複合語-行為"
"11","ない","複合語-評価"
"11","発泡酒","複合語-事物-一般"
"11","美味しい","複合語-評価"
"11","無い","複合語-評価"
"11","クリーミーホワイト","複合語-事物-一般"
"11","グリーンラベル","複合語-事物-一般"
"11","好き","複合語-事物-一般"
"11","無い","複合語-評価"
"12","梅酒ストレート三杯グリーンラベル３５０ｍｌ","複合語-事物-一般"
