"単語","品詞","品詞細分類1","品詞細分類2","品詞細分類3","活用型","活用形","基本形","読み","発音","長さ","行番号","行内順序","評価"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","1","1","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","1","2","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","1","3","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","1","4","99.0"
"糖",""名詞","一般","*","*","*","*","糖","トウ","トー"","1","1","5","99.0"
"質",""名詞","一般","*","*","*","*","質","シツ","シツ"","1","1","6","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","1","7","99.0"
"７０％","名詞","未知語","*","*","*","*","７０％","*","*","3","1","8","99.0"
"カット",""名詞","サ変接続","*","*","*","*","カット","カット","カット"","3","1","9","99.0"
"だ",""助動詞","*","*","*","特殊・ダ","基本形","だ","ダ","ダ"","1","1","10","99.0"
"が",""助詞","接続助詞","*","*","*","*","が","ガ","ガ"","1","1","11","99.0"
"そこそこ",""副詞","助詞類接続","*","*","*","*","そこそこ","ソコソコ","ソコソコ"","4","1","12","99.0"
"カロリー",""名詞","一般","*","*","*","*","カロリー","カロリー","カロリー"","4","1","13","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","1","14","99.0"
"ある",""動詞","自立","*","*","五段・ラ行","基本形","ある","アル","アル"","2","1","15","99.0"
"事",""名詞","非自立","一般","*","*","*","事","コト","コト"","1","1","16","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","1","17","99.0"
"発見",""名詞","サ変接続","*","*","*","*","発見","ハッケン","ハッケン"","2","1","18","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","1","19","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","1","20","99.0"
"しまっ",""動詞","非自立","*","*","五段・ワ行促音便","連用タ接続","しまう","シマッ","シマッ"","3","1","21","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","1","22","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","1","23","99.0"
"なう",""動詞","自立","*","*","五段・ワ行促音便","基本形","なう","ナウ","ナウ"","2","1","24","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","1","25","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","2","1","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","2","2","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","2","3","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","2","4","99.0"
"グビ","名詞","未知語","*","*","*","*","グビ","*","*","2","2","5","99.0"
"っ",""動詞","非自立","*","*","五段・カ行促音便","連用タ接続","く","ッ","ッ"","1","2","6","99.0"
"と",""動詞","非自立","*","*","五段・ラ行","体言接続特殊2","とる","ト","ト"","1","2","7","99.0"
"な",""助詞","終助詞","*","*","*","*","な","ナ","ナ"","1","2","8","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","2","9","99.0"
"あかん",""感動詞","*","*","*","*","*","あかん","アカン","アカン"","3","3","1","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","3","2","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","3","3","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","3","4","99.0"
"先輩",""名詞","一般","*","*","*","*","先輩","センパイ","センパイ"","2","3","5","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","3","6","99.0"
