No.,ツイート
1,淡麗グリーンラベル、糖質は７０％カットだがそこそこカロリーはある事を発見してしまった、なう。
2,淡麗グリーンラベルをグビっとな。
3,あかん、グリーンラベル先輩にやられた。寝るぜよ！
4,数日前に冷蔵庫から消えたグリーンラベルたそがお中元となって帰ってきた！最高や！グビグビ！
5,久々のグリーンラベル。やっぱりビールの方がうまいなぁ。　今日の夕飯は、たらこパスタ、鮭のムニエル、真鯛のカルパッチョ、スルメイカの刺身、パトス。アルコール飲みたかったけど、走るので我慢。。　明日からはまた仕事忙しいけど、１日は走ろう。
6,グリーンラベルと淡麗はだいぶ味違うなあ。
7,カップ焼きそば界のキング　俺の塩を食らう。　グリーンラベルとともに・・・　　　おばば様どこで買ってきたんだろう、帰るまでに買い占めたい。
8,＠Ｂ＿Ｂｅａｒ３３　おいちゃんグリーンラベル飲んでますしね。照笑
9,さげぽよなので、グリーンラベルＣＭでにのが合流しただけで泣ける。寝たら治る。寝る。
10,グリーンラベルなう
11,なんだかんだあんま飲んだことなくてさ。発泡酒てこんなに美味しく無いのね。クリーミーホワイトかグリーンラベルしか好きじゃ無いな。
12,梅酒ストレート三杯グリーンラベル３５０ｍｌ飲んだけど一時間半踊ったから消費したやろ
13,＠ｔｅｒｕ＿ＴＬ７　発泡酒の中ではグリーンラベルが行けるって話聞きましたけどどうでしょう？笑
14,クーリーアー　アサヒが　家で冷えてる　心ウキウキわくわく～♪　が、頭から離れなくて困るなう。でもノエルキャロルのおうちで冷えているのは、キリンのグリーンラベルです。
15,グリーン／ラベルのＣＭを飛鳥で見てみたい。四つ葉作るやつ（　´　▽　｀　）たいしといもことたけなかさんとうまこさんかなー。よしださんでもいいな。春っぽいから
16,発泡酒なんて飲めるかー！て思ってたけどグリーンラベル飲んだその日からグリーンラベルな日々。
17,＠ｍｉｃｃｃｃｃｃａ　嗚呼（泣）なるへそ！飲めたよ～グリーンラベルと割ったんだけど美味だたよ（＞Σ＜）お仕事頑張ってね！
18,淡麗グリーンラベル、亀田の柿の種（生姜じょうゆ味）、日経ＮＥＴＷＯＲＫ　　　　サイコーだぁい！ｗｗｗ
19,淡麗グリーンラベルなう
20,３ＤＳとニンテンドックスの広告冊子探してこよう。あと、グリーンラベルのパーカー欲しいな…６本もビール飲めない（笑）
21,あと最初の５缶くらいはスーパードライがいいけど、その後はグリーンラベルでもブリューでもどーせ味がわからない
22,グリーンラベルが軽やかでよい。
23,ほろよいアイスティーおいしかったー！！さすがほろよいなだけあってジュースみたいだった。。。チューハイもいいけどやっぱあたしは、淡麗グリーンラベルＬＯＶＥ？
24,＠ｙｕｎｏｎｗ　＠ｎｅｗ＿ｏｐｅｎ　ええい、淡麗グリーンラベル１０本でどうだいっ！
25,あり？　淡麗グリーンになっちゃった…　マッコリは、後ほどだな…
26,＠ｋｙ＿ａｌｉｃｅ　グリーンラベル（笑）　　ＱＴ：　いいんダヨ？？　ＲＴ　＠Ｂｋ＿ｎｅｋｏ３：　ほろ酔いツイートすみません？。＾＾；
27,＠ｋａｂｏｃｈａｎｚ　端麗はグリーンラベルですが～笑
28,＠ｔｍｓｈｉｎｇｏ　そうですよね！　とつぶやきながらグリーンラベルを飲んでます笑
29,＠Ｂａｍｂｉ０３２７　そりゃもう淡麗グリーン、ですよね？
30,「Ｔｏｕｃｈ　ｇｏａｌ」、もとは早起きのモチベーション上げるために買ったのに。。。今は朝のジム通いで大きく稼いだポイントを淡麗グリーンラベルの３５０ｍｌを飲んで削っているなう
31,三階に作ったルーフバルコニーで門司の海とその先に見える小倉の夜景を見ながらグリーンラベルなう。明日は福岡で人材系の会社の面接。どうせ緊張するんだ。深呼吸して俺らしくいこう。
32,＠ｃａｆｅｎｉｎａ　アタイも淡麗（グリーン）なう（・ω・）ノ日　あ、ニナしゃん☆おひさ～
33,グリーンラベルるるるる旨いっ！
34,素敵。久永さんらしく、やってきてください。“＠ｋｉｙｏ５１３６：　三階に作ったルーフバルコニーで門司の海とその先に見える小倉の夜景を見ながらグリーンラベルなう。明日は福岡で人材系の会社の面接。どうせ緊張するんだ。深呼吸して俺らしくいこう。
35,淡麗グリーンラベルの批判を聞いた。私は好きなんだがな。
36,グリーンラベルもロング缶だと酔いますね・・・。
37,グリーンラベルやら日本酒やら。。。
38,燃料補給はグリーンラベルだけど、新しく「濃い味　糖質０ゼロ」って出てたから乗り換えようかな～安いし
39,あ～最近キリン本格＜辛口麦＞ばっかり飲んでたから、グリーンラベルじゃ物足りん…
40,＠Ｓｈｉｎｏｋｅｎ＿ＭＴＶ　グリーンラベル飲みたい！金ない！
41,＠ｓａｐｐｕｘｘｘ　いまうちが一番好きなニノは、グリーンラベルのＣＭで『おーい、こっちこっち（＾＾）／』っていうニノです！！←　　金曜Ｍステぜっっったい観る。誓う。笑
42,＠ｊｊｊｙｏｃｈａｎ　ＣＭは、クリアアサヒより、キリングリーンラベルの方が可愛いよ！！笑　向井理、これから年取っていくのに、あんなに童顔やったら嫌や～（＞＜；）笑
43,昨日の深夜、嵐のＤＶＤ見て楽しくなっちゃって、淡麗グリーンラベル５００×３・氷結ピーチ５００×２を飲む。朝気持ち悪くて目が覚めた…。昼まで倦怠感。家で飲んでこの有様。親には言ってない。ＫＩＲＩＮに貢献してるな、と今気づく。
44,麒麟グリーンラベル四つ葉新デザイン　見た目買いがケンジスタイル　チンチン！
45,グリーンラベルの５００ｍｌ缶を　２本、飲み干したった。　これで今宵は、グッスリと眠れるかしらー。
46,ビールとシュウマイでさっきのリズム隊練習の録音きいてる。まだまだつめれるなー。最近グリーンラベルでは酔わなくなってきたなー。
47,ついていきますセンパイ！ＲＴ　＠ｓａｔｏｓｈｉｉｉｉｉｉ：　ビールとシュウマイでさっきのリズム隊練習の録音きいてる。まだまだつめれるなー。最近グリーンラベルでは酔わなくなってきたなー。
48,ビバストイック♪ＲＴ　＠ｎｔｎｅｃｏ　ついていきますセンパイ！ＲＴ　＠ｓａｔｏｓｈｉｉｉｉｉｉ：　ビールとシュウマイでさっきのリズム隊練習の録音きいてる。まだまだつめれるなー。最近グリーンラベルでは酔わなくなってきたなー。
