ï∂èëID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
1,0.0,0.8310792076654013,1.197102019618807,1.2982736553307077,1.2105691099943412,1.0216736659395809,1.2876793650165037,1.2593492907533737,1.2397942755846405,0.8749703938641495,1.0964834829566152,1.1626677762048903,1.2397942755846405,1.0696161624680183,1.2712151363533366,1.0699364736113985,1.298273687141561,1.1099438691751764,0.6873679961090914,1.0839610466368739,1.0504032791352316,1.0946306393228586,1.0086588504141034,1.0690449480438033,1.0917316408585178,1.2442853086645207,1.1598906463240064,1.197102019618807,1.1153793143230415,1.0187539291851704,1.1254514430224316,1.250425575044668,1.0946306393228589,1.1641913005484301,0.9648600840866394,1.2645584984267713,1.1971020060004247,1.1861705280388448,1.2470967814397012,1.231465053854878,1.2359385750295604,1.3118135003017934,1.1672808178974186,1.2218459264989332,1.1776504716170189,1.0444436696740664,1.0782225792739666,1.1043554875046184,1.1598906463240064,1.2876794566381125,1.300535821936395,1.2328764839333457,1.298273758943223,1.1044503508186736,1.0616630463999386,1.1083696119126267,1.1742831571240262,0.8929302217155791,1.1776504716170189,0.9267173640656463,1.12525577784429,1.1326353314356916,1.1806390161587803,1.1326353314356918,1.2105690549079944,1.0690449386620067,1.0278831156758246,1.0364264981008597,1.0946306393228586,1.0654106947222624,1.2243894785868419,0.9564418903183683,1.0538030068638167,1.2692823723714637,0.8875905328484239,1.0089695141191515,1.1429401035249902,1.2535663070649368,1.1540566902034335,1.0573944119960372,1.2171429931314675,1.1402392973176414,1.0946306393228586,1.2470967814397012,1.0364264981008597,1.2218459264989332,1.1952285874143374,0.9306484587148692,0.8875905328484239,1.2637597426166567,1.0278831088397242,1.0163721765427542,1.1672809088447083,1.0946306393228586,1.1345938855328142,1.0168127647157092,1.3259912845489417,1.1861705280388448,1.1187799689968956,1.028827844998672,1.2689204545770305,1.2218459264989332,1.1598906533613735,1.0616630528413324,1.3066101221799176,1.0776697884458377,1.0721847033819514,1.2593492911354143,1.0504033233206937,1.3148945675361454,1.0981499276691555,1.3289453185187523,1.124381094951136,1.1402392973176414,0.948663161774582,1.1475496363775441,1.1083696564642613,1.115379250169015,0.8388042290680521,0.9949108499313095,0.9812614260393983,1.0216736250277274,0.9399035772952513,1.0840727652073199,1.1540566902034333,1.1426438629114726,1.2314650462134413,0.9648600950630083,1.145755929525191,1.1806390161587805,1.3710607738346765,0.9928820885489019,1.0163721658212779,0.9337279127161098,1.1759194301842395,1.1626677308452391,1.0538030177454096,0.9863542217914442,1.0163721765427542,1.2359386669480528,1.0364264698036185,1.2218458853553098,1.2660831935746344,1.1252557778442902,1.2188746173414684,1.2007120424958764,1.2314650462134413,1.2593492907533737,1.1902890926191054,1.1219405610663573
2,0.8310792076654013,0.0,1.1927488081404356,1.1659705675026626,1.2383176561232163,0.9510808996526452,1.2852410683141138,1.2563291716120617,1.2363637859533845,1.0281979231268545,1.141792220881987,1.1857114285316945,1.2363637859533845,1.160292743922832,1.3064095962806161,1.0878894610781646,1.2960492850889953,1.0583559461341483,0.5773502721125657,1.140114120339553,1.1193358682084051,1.0878894289006489,1.0173980484842373,0.9533679965010755,1.0364265220187683,1.2593492682402816,1.1547005442251315,1.1927488081404356,1.0648824287483967,1.0100515656200015,1.1999532132013668,1.290994422227042,1.0878894289006489,1.2278574018931556,0.7994825485372472,1.2616464660626066,1.1927487945715767,1.2438204030192808,1.2438204030192808,1.22785749535349,1.2517935456360283,1.3098596647230294,1.1268110171858208,1.2180321325950467,1.1991866070319954,1.1083695826118352,1.1354869725883638,1.1566044568537523,1.1547005442251315,1.2852411597622289,1.298356839459482,1.249023006657408,1.2960493567676337,1.2203467572776914,1.0000000050626805,1.137054612884897,1.2136530352455444,0.880485727911288,1.1991866070319954,1.0019398134302402,1.1659705675026628,1.12681109614926,1.1759194894270424,1.12681109614926,1.2065110447782146,0.9533679881344449,1.0194268748518034,1.0281979231268545,1.0878894289006489,1.1573338624427765,1.2717916187372018,0.9898875758073375,1.046029806548194,1.2664679211888807,0.6759929847291682,1.080123455202963,1.0978527521993495,1.2504255960773445,1.1779760369488088,1.109143688036979,1.2664679500886293,1.0531519863905585,1.0878894289006489,1.243820403019281,1.0281979231268543,1.2180321325950467,1.2504256070509132,0.9194016830492201,0.6759929847291682,1.2769987227310946,0.9376049146422869,0.8769749580209446,1.1268111049799505,1.0878894289006489,1.0878894165246835,1.1694205725872375,1.324317498018307,1.243820403019281,1.1605183628384848,1.10251316503875,1.2816805139617011,1.2180321325950467,1.2018504385311959,1.0540925651214548,1.3045526727542767,1.0194268680719427,1.1306247420503985,1.2563291719931857,1.1193359152935294,1.313001870121863,1.0441658444288306,1.3273294692045348,1.1991866444400667,1.0531519863905585,0.9379637223856548,1.1847849899066267,1.1370546585895422,1.2402094965317854,0.7834497037625402,0.959102030800873,1.0049141365491077,0.9510808615676076,0.9289398931003493,1.0573943391343616,1.1779760369488086,1.1877476415987163,1.227857487734439,0.8804857309162426,1.1902890492514606,1.1759194894270424,1.3702562311925397,1.1069793557678331,1.1231433594346354,0.8769749580209446,1.1370545990872716,1.185711382273033,0.931516489758975,0.976753365850174,0.8769749580209446,1.2517936387336746,0.906360116886536,1.218032091579848,1.2430370859853643,1.1659705675026628,1.298356718726204,1.135487083913186,1.227857487734439,1.2563291716120617,1.2105690880253783,1.1491882990434523
3,1.197102019618807,1.1927488081404356,0.0,1.0807172001934813,1.1806390353460656,1.1694205539623725,1.2440791276580514,1.2786131579515354,1.0878893991983312,1.0878894289006489,1.181937981463297,1.1463008965214523,1.261646388558306,1.1491881757186124,1.2723992452437696,1.0050127061619114,1.2022062329332004,1.2214742990765437,1.1927488081404356,1.1805342771185439,1.0664604695004938,1.1370546094354899,1.1212576465432078,1.197102019618807,1.3163353613410702,1.2811835541300258,1.1927488081404356,0.9999999868608799,1.322875638150873,1.2552832345208773,1.0729049769409935,1.362226971807318,0.9691954413512174,1.0710727956522463,1.2363637831403769,1.2831393839026675,0.9999999754847553,1.1881294444464707,1.1881294444464707,1.0710728771786686,1.172603848012427,1.1231433586215502,1.2976023866152078,1.1529005301001565,1.1623744215998844,1.1540566461285429,1.1231432485069226,1.1453177819816875,1.0648824287483967,1.181937990264236,1.3144712278124018,1.2723990721511025,1.3124976645775925,1.2480682014403528,1.0648824287483967,0.9896359109388001,1.0855487624312932,1.2122994124630524,1.1623744215998844,1.1631866463780882,1.2022062034762329,1.1694205539623725,1.0946306645839619,1.1694205539623725,1.2363637831403769,1.1971020091131983,1.2585606619621106,1.0878894289006489,1.1370546094354899,1.0230040741028799,1.0566682242306216,1.2032633004815299,1.1025132284900447,1.2872462128754718,1.2105690966162261,1.1306246738811057,1.2868086410262605,1.1971020091131983,1.1370546055549071,1.1547005652427655,1.2872462422493645,1.3005357112865776,1.1370546094354899,1.1025132398746202,0.8804857309162426,1.2461085162835233,1.2735915655857313,0.9999999868608799,1.2105690966162264,1.2111970822453673,1.0807172406703496,1.2544315491951783,1.2136530425477376,0.9691954413512174,1.3282686675142583,1.205104735762451,1.2111969409507553,1.2679778032057685,1.1976287792792446,1.1491882176202175,1.2183140462399196,1.2461085162835235,1.1927488153771617,1.1517051234270839,1.2180321248354151,1.2585606535918525,1.0606602217945715,1.2786131583394198,1.115872224860621,1.2336566165102265,1.267312359930906,1.1304888956365404,1.1623744578596178,1.1759194131758262,1.1280040419704296,1.106979467259106,1.1779760704508209,1.264910974692788,1.068881214488578,1.154056799171626,1.1463008286343326,1.235175367588078,1.1231432485069228,1.1598905875117425,1.2122994124630522,1.0878894662348222,1.1663609230437475,1.2831393401112006,1.1806389432745277,1.0946306645839619,1.1903786181126859,1.1529004912781546,1.1663609107400743,1.2544315491951783,1.261646388558306,1.0688812187802466,1.1881294444464707,1.1491882176202175,1.2544315491951783,1.118033984235028,1.1779760088071238,1.246108474322898,1.3670016683546276,1.0145317256511437,1.314471105580656,1.17666583621073,1.2544315491951783,1.205104735762451,1.1083696262628147,1.1025132230871957
4,1.2982736553307077,1.1659705675026626,1.0807172001934813,0.0,1.2229887240297483,1.284202763349443,1.2905437105797684,1.3406909007312715,1.288532798985552,1.243820390175565,1.2905437927955439,1.2725874819645144,1.3317448965871834,1.2740310137771338,1.337407658404237,1.066343769530426,1.1766968159625766,1.2275467375610176,1.296049253332646,1.2898309502760859,1.2334833863531711,1.2679777901126024,1.1755716124639595,1.214848766245765,1.3607902670434509,1.342051338385934,1.296049253332646,1.0807172001934813,1.3643038111068906,1.3284053226196342,1.2365794505399912,1.3564187127385006,1.009662958805508,1.2356981043095847,1.3185263449794562,1.343087461023203,1.1430768484693996,1.2936935460989911,1.2936935460989911,1.0265963836058412,1.1730140893597891,1.147698216630328,1.328953556455396,1.1746600971868946,1.2806494244448479,1.247096716677804,1.177068305492565,1.1947149152500034,1.2327268617472789,1.1536925412975454,1.3597903739469375,1.337407476468056,1.3301244228883478,1.3246289513423153,1.2327268617472789,0.9904295152717807,1.1137528520025786,1.3060726353772407,1.2806494244448479,1.2810583903964412,1.3008872449763564,1.284202763349443,1.121940592455752,1.2842027633494428,1.3185263449794562,1.2148487555844132,1.3301243753981913,1.243820390175565,1.1881294321778204,1.1223010564373723,1.009899854150818,1.301429320771354,1.2509425655847657,1.3452655391910397,1.3051820893691926,1.2647844050938886,1.3211684852107193,1.2148487555844134,1.1881294281229278,1.2767928311289094,1.3452655698888853,1.3203119038802293,1.2679777901126024,1.1607265059830105,1.1491883046750317,1.3236051345623951,1.2982736553307077,1.2022062034762324,1.3051820893691926,1.2115358006901558,1.176696831202311,1.3279589477346772,1.2612320284753642,1.009662958805508,1.3672073014620938,1.3023740463411515,1.1617040027386913,1.2936935460989911,1.298543149297956,1.1712922217934048,1.3091733659358837,1.3236051345623951,1.25418961294711,1.1886393195122424,1.1946163091170525,1.3008872936994087,1.1730142366481175,1.340690901137988,1.233483438239937,1.2122727591039455,1.3071561049117468,1.0135974251274578,1.2083437155934311,1.1835772746469393,1.2634857754090039,1.2531286182662402,1.2885328664147062,1.3334615321745622,1.2346450759977128,1.2470968820592236,1.2725874065983527,1.3179083417685018,1.2057232905673185,1.206356101450401,1.2679777857852002,1.2438204328609743,1.1359687804359329,1.3430874151858052,1.2679777345040197,1.121940592455752,1.1247327594020087,1.2758901623968195,1.282658355904947,1.3279589477346772,1.288532798985552,1.0694986152732253,1.293693546098991,1.2740310602307507,1.3279589477346772,1.1430768718762139,1.1974395112124068,1.3236050899922005,1.3882234245237401,1.0741722894255206,1.3597902475009955,1.2878686080127795,1.3279589477346772,1.3023740463411515,1.0696162801195688,1.2509425594545411
5,1.2105691099943412,1.2383176561232163,1.1806390353460656,1.2229887240297483,0.0,1.2202044134085952,1.2544315707307756,1.3057241858137205,1.2268367247052814,1.1576576357360882,1.179345272550568,1.1432590458944922,1.292317905847346,1.146183344284009,1.2402250235643872,0.9561829358189936,1.3114245068230221,1.198134493287759,1.2383176561232163,1.14630099770013,1.0623463619995792,1.1952286344213574,1.1345456368886362,1.3017521434566564,1.294616001254385,1.2702927865564286,1.2383176561232163,1.1806390353460656,1.3026719878273132,1.2421180758440675,1.0573585656267392,1.2845516372332317,1.1952286344213574,1.067023380123781,1.2724180327926304,1.3093074135818819,0.9427789868688742,1.234723764151284,1.2347237641512838,1.2866295819571383,1.2831393001515219,1.265744152928614,1.2375339868648099,1.2800769438542767,1.1595372124413652,1.1153793059847743,1.1417920816617508,1.162374479991274,0.9747916386842973,1.325270646529799,1.3341878809351801,1.2809329743548288,1.3326168315387206,1.2581619075195074,1.1402393897859453,1.1927488307552077,1.2027953709971866,1.1649647654973478,1.1595372124413652,1.1025976390884389,1.1522160686346976,1.2202044134085952,1.2083256489579812,1.220204413408595,1.2724180327926307,1.301752132032653,1.1998618098211347,1.0840728628106262,1.1952286344213574,1.1088218374181882,1.246510842650151,1.172734086196113,1.168784396876277,1.3125610569759236,1.252214331620913,1.0328896913864294,1.201587465901919,1.2720842177117488,1.1952286303422368,1.1517660884785828,1.3125610869274775,1.3231054664911215,1.0690449900881605,1.234723764151284,1.0051152880076912,1.2800769438542767,1.145756018876395,1.0917316586009151,1.2522143316209131,1.0870199062590717,1.1998618018412632,1.2866295739733977,1.2714850192609433,1.1952286344213574,1.309307354002503,1.2180321436802382,1.2527048427359078,1.2973159032889883,1.1952286992521979,1.0846583170523783,1.224700492260971,1.2442854109860082,1.2225178296018089,1.1738430331843266,1.3384109810185194,1.1025133074102436,1.114623610711187,1.3057241862098292,1.0826591887945316,1.344180834644876,1.1212576276297817,1.3539930945167256,1.241438162526699,1.2751125996324708,1.124724919198795,1.126811235788154,1.1927488786985143,1.230904816760657,1.0809483527012331,1.0139485095711125,1.1125399755895482,1.246108480560303,1.1198002915469212,1.0781248485656183,1.069044986439684,1.0051153225012186,1.1066549390878924,1.2535663673674469,1.0879675616735933,1.208325648957981,1.3522864748531274,1.1694205811014677,1.1066549274140454,1.2866295739733977,1.1214689108724554,1.230824453040572,1.234723764151284,1.1260486037148374,1.2866295739733977,1.2018386694651275,1.292317905847346,1.280076900749825,1.356772894465925,1.1276385437683594,1.3134196712448207,1.2258202607128887,1.252704897148526,1.2479476825967046,1.1463735915432818,1.1343782728096667
6,1.0216736659395809,0.9510808996526452,1.1694205539623725,1.284202763349443,1.2202044134085952,0.0,1.2722479522996517,1.2402095650440013,1.218032071626509,0.9834655221205202,1.0230041405442736,1.1615544390093064,1.218032071626509,1.133086412618375,1.295651379369309,1.051462241523054,1.2139873193703847,1.0939747017552819,0.9510808996526452,1.1104211927456742,1.0223541625904744,1.0514622104229785,1.0853072152007652,1.1326353314356916,1.1505983728678537,1.243560421282796,1.12681109614926,1.1694205539623725,1.1694205539623723,1.1333394470716605,1.1774666621800822,1.2786131281329265,1.0514622104229787,1.2085693418758903,1.0514621984614134,1.2461085304594126,1.1694205406588982,1.1206210673586356,1.2263201224207645,1.2085694338680848,1.2351753364288671,1.299461563594528,1.2110600408593772,1.1976287415669653,1.1766107974948012,1.0746374331958342,1.1052152585816006,1.1289480823150584,1.12681109614926,1.2722480428232765,1.2867536453142565,1.2320991016135778,1.2842028658389892,1.2002071534323864,0.9510808996526452,1.1069793510663948,1.1927487886012775,1.051462206834509,1.1766107974948012,1.0223540388210746,0.9734117039047586,1.095445100617147,1.1505983728678537,1.095445100617147,1.1847848484746981,1.1326353214958345,1.1394532267156408,0.9834655221205202,1.0514622104229785,1.1297666490881373,1.2573550589369407,1.0779071416892756,1.0038536196828778,1.251454780705456,0.9928821223052694,1.0426548144254602,1.1914776825460784,1.2336565493062979,1.1529004999344108,1.075511976274417,1.2514548092626179,1.1893106487779896,1.0514622104229785,1.2263201224207645,0.9834655221205202,1.1976287415669653,1.233656560132704,0.8573732656292734,0.9928821223052694,1.2631232163650181,1.0596895901344625,1.0913111943478648,1.2110601352176729,1.0514622104229785,1.184784848474698,1.1433195793245368,1.3154162244250844,1.2263201224207645,1.1333394693507914,1.1330864539328784,1.2683070892542487,1.1976287415669653,1.1795844124929458,1.1268111029859242,1.293600173523428,1.1394532191375257,1.0997411963811092,1.2402095654202352,1.0870174861965,1.3029307438674635,1.1556972317573657,1.3187375750782127,1.1766108341986319,1.1893106487779896,1.0390582313476906,1.1605184040997971,1.1069793955621465,1.0557282309619584,0.9567380477425854,1.074637575706887,0.9567380322489321,1.0954450567511937,1.0323763924481173,1.144523608504971,1.1529004999344108,1.163831112172273,1.0913111943478648,1.0514622104229787,1.1666718818266608,1.150598372867854,1.365986753910353,1.0730665436807065,1.091311182835874,1.0913111943478648,1.106979337633718,1.1615543936930905,1.1206210673586354,1.0680177719199804,1.0913111943478648,1.2351754282905953,1.106979337633718,1.1976287012388158,1.2914403104125962,1.1394531764607774,1.145194082438629,1.2381036194971948,1.2085694263687194,1.2402095650440013,1.189310695809963,1.0038536147635089
7,1.2876793650165037,1.2852410683141138,1.2440791276580514,1.2905437105797684,1.2544315707307756,1.2722479522996517,0.0,1.3340941300859024,1.2769985727037247,1.2278574669090347,1.2792043077849433,1.2177488834685484,1.3243174969226175,1.261081403195541,1.3305067795382568,1.2199665018547938,1.353791545242786,1.3305066762227415,1.2852410683141138,1.2784224659589571,1.2164683389557966,1.254431527919057,1.2458274366027302,1.3311944692864173,1.3560366348554735,1.3083194622971153,1.2852410683141138,1.2440791276580514,1.3598691847222815,1.3206661728612044,1.2494943681907937,1.1792913388537525,1.254431527919057,1.2449990438445493,1.3098596185295357,0.9096131370975356,1.1819378927205226,1.2826583609253037,1.2826583609253037,1.3201780737357043,1.331865660295449,1.305025674639102,1.2722478631444378,1.315416289179861,1.2683481845105904,1.2314649740928432,1.2468511519455814,1.25895642565044,1.2852410683141136,1.3483997451402723,1.3549457838795849,1.330506598540839,1.3225458565681163,0.9659554251428588,1.215634384435007,1.2769985881995065,1.226607589866062,1.296224825236416,1.2683481845105904,1.2687970900103147,1.2905437105797686,1.2722479522996517,1.23146505374572,1.2722479522996517,1.309859618529536,1.3311944576040307,1.3225458093485394,1.2278574669090347,1.1663609032613718,1.0112213436357584,1.3166734508843563,1.2911377076875217,1.2356981697406362,1.3390910455579312,1.2952493068261233,1.2509219720473939,1.3388374321408003,1.3311944576040307,1.2962248252364161,1.2641142667890874,1.3390910761148813,1.2758550420091463,1.254431527919057,1.2826583609253037,1.1231433522330436,1.315416289179861,1.0432235173931368,1.1819379061663966,1.2952493068261233,1.3201781622084157,1.2577277101151103,1.320178065543789,1.3212657627879818,1.254431527919057,1.3630355894378727,1.2921728899585432,1.3443036849481125,1.3279589389240076,1.2879747353226103,1.2610814491769924,1.275467520222293,1.315416289179861,1.307620169155859,1.262465342363087,1.3580501380108514,1.322545800552737,1.2440792026679124,1.3340941304906178,1.2164683901268227,1.362295869966806,1.3275758198649639,1.3695276044670588,1.3063423806987058,1.3118134380500917,1.1583845449713426,1.238103723631031,1.2769986395292938,1.3261940280853577,1.1745189160504825,1.2314651374012962,1.259495810079736,1.3091833206927472,1.276269852466154,1.2669762151928659,1.296224825236416,1.227857509046631,1.320178065543789,1.3367120706487232,1.042248758037087,1.2952493068261233,1.3327711972570628,1.2631230886598037,1.2705531202819156,1.320178065543789,1.3243174969226175,1.2999028009700158,1.2826583609253037,1.2337129169989773,1.320178065543789,1.303260744682883,1.3243174969226175,0.9598333897561206,1.3859362009471812,1.257727663008542,1.3549456578841328,1.2762699775935522,1.320178065543789,1.2921728899585432,1.311813489926511,1.235698163685116
8,1.2593492907533737,1.2563291716120617,1.2786131579515354,1.3406909007312715,1.3057241858137205,1.2402095650440013,1.3340941300859024,0.0,1.3045526127976295,1.1847848808225243,1.2039593936088575,1.172081830553491,1.1847848484746994,1.2595834733634235,1.347035527878243,1.2180321381376427,1.3406909335814496,1.3121572516031454,1.2563291716120617,1.1364454819744316,1.2359209689983381,1.218032102110776,1.262205212694918,1.2593492907533739,1.2687158927108628,1.1409218534040977,1.1694205725872375,1.042654812053186,1.1268110935855111,1.2180321442344977,1.282869342402144,1.337602858737919,1.218032102110776,1.2381035440794026,1.2867535720144634,1.2699219484258244,1.2786131434058727,1.3090279034992707,1.2531285158295151,1.2381036383196393,1.2786130744958133,1.280791433938946,1.240209478133945,1.2936001788212441,1.282415951271388,1.2296543460480411,1.2085693135033175,1.2236728962955699,1.2563291716120617,1.2921729818998755,1.3045527049202472,1.3121571749925836,1.340691007729016,1.29497914791222,1.2563291716120617,1.1847848628515096,1.1547005226820624,1.2699219007514104,1.282415951271388,1.2359208193738744,1.2628951745344583,1.2402095650440013,1.2687158927108628,1.1433195793245368,1.2180320882542912,1.3130017956081979,1.2628952302336516,1.1847848808225243,1.218032102110776,1.2578606972674105,1.325917261883174,1.2636302164098965,1.1946162868292782,1.3226905493496104,1.2687158927108628,1.2136530523658133,1.1531842128099312,1.3130017956081979,1.2180320979538306,1.2300957668006314,1.3226905795323132,1.3321506613354848,1.218032102110776,1.3090279034992707,1.1847848808225243,1.2936001788212441,1.3130018071309273,1.1268110935855111,1.2687158927108628,1.2691535481581362,1.2221417262436483,1.1735419953061976,1.3300601105642813,1.218032102110776,1.3519864430410726,1.2110601422593386,1.1398907005257666,1.3090279034992707,1.1300633748246243,1.2919908871509662,1.2741184982035643,1.2936001788212441,1.228043227439094,1.3110715780880906,1.3458968241030906,1.3023740951198894,1.2424027938054911,1.3165611782825457,1.23592102098764,1.3510832032524072,1.2713887275538782,1.244208139204321,1.235362696469415,1.2446890918260867,1.2478752224934162,1.1575983409720965,1.1847849104747032,1.3068592443840163,1.2243449500161805,1.2687159788969467,1.224344930188835,1.1927487576642852,1.2452040317019484,1.2966388089887533,1.2699219007514104,1.2461085505419212,1.2381036306370095,1.3197731199942315,1.2771625893169378,1.189310723191597,1.372546244529092,1.228862075007437,1.2381036175765392,1.2994615752864094,1.3045526127976295,1.274466722599263,1.3090279034992707,1.1921287771212403,1.2994615752864094,1.2786131695880665,1.3045526127976295,1.2936001352614173,1.2331004478577874,1.1799815051182843,1.3421021693917583,1.315416287683422,1.2994615752864092,1.3165611778831492,1.198567405003767,1.2531284967487464
9,1.2397942755846405,1.2363637859533845,1.0878893991983312,1.288532798985552,1.2268367247052814,1.218032071626509,1.2769985727037247,1.3045526127976295,0.0,1.1547005126986905,1.227857511607477,1.1401140274890105,1.1547004811722479,1.2022060576292344,1.2590549948676366,1.1433195845271622,1.3317449292181645,1.2995823935466584,1.2363637859533845,1.2267544314545824,1.1382615529484346,1.1927487755751736,1.243037084961374,1.3005357300974323,1.3348340986990974,1.3066100387707458,1.2363637859533845,1.1779760088071238,1.3401028849305827,1.2859198455618364,1.1857112426243004,1.3719142428490823,1.1927487755751736,1.1792912743971142,1.2708657216856833,1.3081761635749565,1.087889386822365,1.2327268408196723,1.2327268408196723,1.285241062997362,1.2616463062100083,1.2237160530011142,1.3197729944780152,1.2786131550424076,1.1566044066468275,1.2060078999142385,1.2237159330261826,1.2376215357278944,1.1370545990872716,1.3243175911511242,1.3333333614313805,1.2995823176702774,1.331745002870972,1.2801728361470797,1.1370545990872716,1.2247448255761053,1.2158333319436152,1.2517935888917122,1.2125126731086984,1.176301034814447,1.2438203562159107,1.2180320716265087,1.2504256017673465,1.218032071626509,1.2708657216856833,1.300535718684103,1.2885328558154798,1.1547005126986905,1.1927487755751736,1.1735419445748296,1.2803640127945786,1.2078900480974308,1.1659705356685184,1.256947055735528,1.2504256017673465,1.1877475684088983,1.237621554401547,1.300535718684103,1.2517935888917122,1.2065110694839802,1.3114663477471933,1.3221283794698735,1.1927487755751736,1.2327268408196723,0.9999999777599822,1.2786131550424076,1.3005357300974323,1.0878893991983312,1.2504256017673465,1.2509220507040753,1.19743955606096,1.2852410550222366,1.2867535645326817,1.1927487755751736,1.3444514702449286,1.246108473755864,1.3186672211683979,1.2960492313300354,1.2402096012753634,1.2400602906049492,1.1876419305951291,1.2786131550424076,1.2363637934547347,1.2677392663147722,1.337602881410862,1.2438204028015982,1.1338278379582447,1.3045526131933827,1.1763012267025474,1.3434359038873824,1.253457157985078,1.3218753274478428,1.2659543085794172,1.2231300707720631,1.185711354501974,1.169420648328404,1.154700541597936,1.228861986991329,1.14011397843158,1.206008059846748,1.1999532647532511,1.2699218224498128,1.1819377862536942,1.2468217041472225,1.1927487715045155,1.1902380857994652,1.2852410550222366,1.3081761189290229,1.2268366290310353,1.2504256017673465,1.3192250194149588,1.205104692440678,1.2156343590395495,1.2852410550222366,1.2909943847764311,1.2569470543056094,1.1659705477083562,1.2022061014639764,1.2852410550222366,1.2616464000404248,1.2909943847764311,1.278613111987241,1.375786564725958,1.1974395112124068,1.2909943558929584,1.2237160530011142,1.2852410550222366,1.246108473755864,1.2735915511661893,1.1659705299546974
10,0.8749703938641495,1.0281979231268545,1.0878894289006489,1.243820390175565,1.1576576357360882,0.9834655221205202,1.2278574669090347,1.1847848808225243,1.1547005126986905,0.0,1.0076051556260728,1.0769549881713671,1.1547005126986905,0.9437157466391782,1.2590550292432305,0.9194017102432176,1.2438204206521806,1.1738096019976068,0.7653668686049874,1.004914250465957,0.9713181909103132,0.9194016830492202,1.0441658976775594,1.175919462290015,1.25042563590734,1.1893106744845074,1.0281979231268545,1.0878894289006489,1.261646423004659,1.037419700528439,1.0049140659395484,1.2363637880631384,0.9194016830492202,1.062831850704636,1.1091436350423953,1.1927488488470197,1.0878894165246835,1.1659705795424997,1.1659705795424997,1.1417921745932986,1.1779759640819643,1.2641142509702836,1.218032019526146,1.1268111217867502,1.0978527179523416,0.9533679568370538,0.997477803378688,1.031219776134909,1.0281979231268545,1.2278575542741632,1.2472191892604105,1.1738095334645016,1.2438204894422764,1.1303472873302838,1.0281979231268545,0.999999989894514,1.12010891394435,0.9194016799114516,1.0978527179523416,0.9713180733194924,1.046029806548194,0.9834655221205202,1.0616630709002381,0.9834655221205202,1.1091436350423953,1.1759194519703022,1.0460298526826777,0.8164965850613874,0.9194016830492202,1.032376486510394,1.2078899674605539,0.9581213818382291,0.8479237929903995,1.199953323130576,1.0616630709002381,0.9063601416326131,1.1991866444400667,1.1759194519703022,1.0648824251141262,0.9546402207575225,1.1999533505125166,1.2231301041668199,0.9194016830492202,1.1659705795424997,0.8164965850613874,1.1268111217867502,1.0364264981008597,0.6058108906089752,1.0616630709002381,1.2156344940629387,1.0460298457258896,1.1417921675082967,1.2180321144276525,0.9194016830492202,1.2708657563837498,0.8985713196521825,1.285241034286921,1.1659705795424997,1.0374197209219844,1.0370629264288804,1.2225827624847891,1.1268111217867502,1.101964530151665,1.171093791920127,1.2563291950512028,1.1491883477163953,0.9896359856183554,1.1847848811819446,0.971318231769043,1.268715924298675,1.16478857867567,1.2896275749482367,1.0978527521993495,1.2231301041668199,1.0049141607581096,1.0755120532743845,1.00000003009016,1.1605182331400616,0.9379637149791471,1.0616631430208658,0.9379636997895305,1.1069793235294128,0.997477803378688,1.134593861562157,1.0648824251141262,1.0801234922706229,1.1417921675082967,1.1927488081404358,1.0840727782697552,1.0616630709002381,1.3516298377674612,0.7344429842957665,0.977514208435286,1.1417921675082967,1.1547005126986907,1.0769549461556662,1.1659705795424997,1.0370629264288804,1.1417921675082967,1.1779760516896918,1.1547005126986905,1.1268110838432668,1.3362550355144356,1.046029806548194,1.2472190732823865,1.2641142509702838,1.1417921675082967,1.1847848808225243,1.115379332147637,1.0194268248949419
